,type,id,group_id,name,state,lat,lon,altitude,valid_from,valid_to,has_sunshine,has_global_radiation,is_active
496,INDIVIDUAL,19720,,Kötschach-Mauthen,Kärnten,46.67638,12.99833,705.0,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
497,INDIVIDUAL,19821,102.0,Weißensee-Gatschach,Kärnten,46.71861,13.28583,949.0,1992-12-15T12:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
498,INDIVIDUAL,19911,,Hermagor,Kärnten,46.60972,13.49222,561.6,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
499,INDIVIDUAL,20002,6.0,Bad Bleiberg,Kärnten,46.62528,13.68444,908.7,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
500,INDIVIDUAL,20011,203.0,Fresach,Kärnten,46.71528,13.68528,683.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
501,INDIVIDUAL,20021,,Villacher Alpe,Kärnten,46.60361,13.67278,2117.0,1997-08-31T16:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
502,INDIVIDUAL,20101,122.0,Kanzelhöhe,Kärnten,46.67722,13.90194,1520.0,2001-11-01T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
503,INDIVIDUAL,20105,,Arriach,Kärnten,46.72769,13.85244,890.2,2005-01-19T13:40:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
504,INDIVIDUAL,20123,100.0,Villach Stadt,Kärnten,46.61806,13.87389,493.0,1994-06-15T11:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
505,INDIVIDUAL,20202,120.0,Ferlach,Kärnten,46.53111,14.31417,459.1,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
506,INDIVIDUAL,20209,,Klagenfurt/HTL1-Lastenstraße,Kärnten,46.61944,14.316667,441.0,2021-04-21T15:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
507,INDIVIDUAL,20211,48.0,Klagenfurt Flughafen,Kärnten,46.65001,14.33333,447.0,1992-11-26T11:30:00+00:00,1996-08-31T23:50:00+00:00,True,True,False
508,INDIVIDUAL,20212,48.0,Klagenfurt Flughafen,Kärnten,46.64833,14.31833,450.0,1996-09-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
509,INDIVIDUAL,20220,198.0,Pörtschach,Kärnten,46.63083,14.16528,450.0,1996-12-10T11:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
510,INDIVIDUAL,20270,,Feldkirchen,Kärnten,46.72194,14.09694,546.4,1995-05-04T11:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
511,INDIVIDUAL,20408,188.0,Völkermarkt,Kärnten,46.661388,14.618611,473.1,2008-07-23T00:10:00+00:00,2015-10-14T00:00:00+00:00,True,True,False
512,INDIVIDUAL,20411,188.0,Völkermarkt Goldbrunnhof,Kärnten,46.670834,14.639167,466.0,2015-10-20T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
513,INDIVIDUAL,20412,91.0,Feistritz ob Bleiburg,Kärnten,46.561389,14.765,523.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
